Evolutionary Prisoner's Dilemma Tournament Results
Generated on,2025-06-02 13:07:27
Termination Probability,10%
OpenAI Model Used,gpt-3.5-turbo
Gemini Model Used,gemini-1.5-flash-preview-0514 

SECTION 1: POPULATION HISTORY
Phase,Alternator,Bayesian,Gemini,GenerousTFT,Gradual,GrimTrigger,OpenAI,Prober,Random,SuspiciousTFT,TitForTat,WinStayLoseShift
Phase 1,2,2,2,2,2,2,2,2,2,2,2,2
Phase 2,2,2,2,2,2,3,2,2,1,2,2,2
Phase 3,1,2,2,2,2,3,2,1,1,2,2,4
Phase 4,1,3,2,2,2,4,2,1,0,0,2,5
Phase 5,0,3,2,2,2,5,2,0,0,0,2,6

SECTION 2: STRATEGY PERFORMANCE BY PHASE
Phase,Strategy,ScorePerMove,ScorePerMatch,TotalScore,TotalRounds,MatchesPlayed
Phase 1,GrimTrigger,2.786,22.587,1039,373,46
Phase 1,GenerousTFT,2.779,28.761,1323,476,46
Phase 1,Bayesian,2.766,29.761,1369,495,46
Phase 1,TitForTat,2.763,21.5,989,358,46
Phase 1,Gradual,2.726,30.935,1423,522,46
Phase 1,Gemini,2.698,24.283,1117,414,46
Phase 1,WinStayLoseShift,2.537,23.935,1101,434,46
Phase 1,OpenAI,2.501,25.065,1153,461,46
Phase 1,SuspiciousTFT,2.438,19.609,902,370,46
Phase 1,Alternator,2.304,24.043,1106,480,46
Phase 1,Prober,2.244,18.826,866,386,46
Phase 1,Random,2.084,18.978,873,419,46
Phase 2,WinStayLoseShift,2.775,29.022,1335,481,46
Phase 2,TitForTat,2.746,28.478,1310,477,46
Phase 2,GenerousTFT,2.743,28.022,1289,470,46
Phase 2,Bayesian,2.737,28.674,1319,482,46
Phase 2,Gemini,2.58,23.109,1063,412,46
Phase 2,GrimTrigger,2.51,21.754,1501,598,69
Phase 2,OpenAI,2.499,27.109,1247,499,46
Phase 2,Gradual,2.493,25.522,1174,471,46
Phase 2,SuspiciousTFT,2.327,24.935,1147,493,46
Phase 2,Random,2.153,22.087,508,236,23
Phase 2,Prober,2.142,26.261,1208,564,46
Phase 2,Alternator,2.077,21.087,970,467,46
Phase 3,Bayesian,2.882,27.13,1248,433,46
Phase 3,GrimTrigger,2.822,26.58,1834,650,69
Phase 3,WinStayLoseShift,2.796,25.707,2365,846,92
Phase 3,Gradual,2.782,26.609,1224,440,46
Phase 3,TitForTat,2.769,29.674,1365,493,46
Phase 3,GenerousTFT,2.735,26.283,1209,442,46
Phase 3,OpenAI,2.564,28.652,1318,514,46
Phase 3,Prober,2.357,21.522,495,210,23
Phase 3,Gemini,2.303,22.783,1048,455,46
Phase 3,Alternator,2.114,16.087,370,175,23
Phase 3,SuspiciousTFT,2.061,21.413,985,478,46
Phase 3,Random,1.947,15.913,366,188,23
Phase 4,GenerousTFT,2.947,28.761,1323,449,46
Phase 4,WinStayLoseShift,2.924,27.461,3158,1080,115
Phase 4,GrimTrigger,2.912,22.348,2056,706,92
Phase 4,OpenAI,2.884,21.13,972,337,46
Phase 4,TitForTat,2.875,23.435,1078,375,46
Phase 4,Bayesian,2.79,30.449,2101,753,69
Phase 4,Gradual,2.745,20.348,936,341,46
Phase 4,Gemini,2.611,23.043,1060,406,46
Phase 4,Prober,2.277,18.217,419,184,23
Phase 4,Alternator,2.101,18.174,418,199,23
Phase 5,Gradual,2.988,27.804,1279,428,46
Phase 5,TitForTat,2.967,25.283,1163,392,46
Phase 5,WinStayLoseShift,2.951,26.022,3591,1217,138
Phase 5,GrimTrigger,2.937,27.991,3219,1096,115
Phase 5,GenerousTFT,2.934,28.13,1294,441,46
Phase 5,Bayesian,2.929,31.797,2194,749,69
Phase 5,OpenAI,2.899,22.565,1038,358,46
Phase 5,Gemini,2.523,20.457,941,373,46

SECTION 3: COMPLETE MATCH AND ROUND DATA
Phase,Match,Round,Agent1,Agent2,Move1,Move2,Payoff1,Payoff2,Reasoning1,Reasoning2
Phase 1,1,1,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,1,2,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,1,3,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,1,4,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,2,1,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,2,2,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,3,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,4,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,5,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,6,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,7,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,8,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,9,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,10,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,11,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,12,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,13,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,14,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,15,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,16,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,17,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,18,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,1,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,3,2,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,3,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,4,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,5,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,6,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,7,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,8,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,9,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,10,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,4,1,TitForTat_1,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,4,2,TitForTat_1,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,4,3,TitForTat_1,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,4,4,TitForTat_1,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
