Evolutionary Prisoner's Dilemma Tournament Results
Generated on,2025-06-06 15:51:43
Termination Probability,25%
OpenAI Model Used,gpt-4o-mini-2024-07-18
Gemini Model Used,gemini-2.5-flash-preview-05-20

SECTION 1: POPULATION HISTORY
Phase,Alternator,Bayesian,Gemini,GenerousTFT,Gradual,GrimTrigger,OpenAI,Prober,Random,SuspiciousTFT,TitForTat,WinStayLoseShift
Phase 1,2,2,2,2,2,2,2,2,2,2,2,2
Phase 2,2,2,2,2,2,2,2,2,2,2,2,2
Phase 3,2,2,2,2,2,2,2,2,2,2,2,2
Phase 4,2,2,2,2,2,2,2,2,2,2,2,2
Phase 5,2,2,2,2,2,2,2,2,2,2,2,2

SECTION 2: STRATEGY PERFORMANCE BY PHASE
Phase,Strategy,ScorePerMove,ScorePerMatch,TotalScore,TotalRounds,MatchesPlayed
Phase 1,TitForTat,2.778,9.239,425,153,46
Phase 1,GenerousTFT,2.75,10.522,484,176,46
Phase 1,OpenAI,2.707,8.239,379,140,46
Phase 1,WinStayLoseShift,2.7,9.978,459,170,46
Phase 1,Gemini,2.67,11.609,534,200,46
Phase 1,Bayesian,2.649,9.848,453,171,46
Phase 1,Gradual,2.588,10.913,502,194,46
Phase 1,Prober,2.557,9.674,445,174,46
Phase 1,GrimTrigger,2.557,10.283,473,185,46
Phase 1,Alternator,2.468,9.978,459,186,46
Phase 1,SuspiciousTFT,2.424,8.957,412,170,46
Phase 1,Random,2.279,8.87,408,179,46
Phase 2,GenerousTFT,2.77,13.065,601,217,46
Phase 2,Gemini,2.762,9.848,453,164,46
Phase 2,TitForTat,2.762,10.087,464,168,46
Phase 2,WinStayLoseShift,2.743,10.674,491,179,46
Phase 2,OpenAI,2.732,13.304,612,224,46
Phase 2,Gradual,2.696,10.609,488,181,46
Phase 2,Random,2.644,10.804,497,188,46
Phase 2,GrimTrigger,2.636,10.543,485,184,46
Phase 2,Bayesian,2.628,7.826,360,137,46
Phase 2,Alternator,2.492,9.804,451,181,46
Phase 2,SuspiciousTFT,2.44,10.609,488,200,46
Phase 2,Prober,2.42,8.891,409,169,46
Phase 3,TitForTat,2.751,10.348,476,173,46
Phase 3,Bayesian,2.713,12.739,586,216,46
Phase 3,WinStayLoseShift,2.706,8.413,387,143,46
Phase 3,Gradual,2.702,10.043,462,171,46
Phase 3,Alternator,2.688,9.0,414,154,46
Phase 3,GenerousTFT,2.672,11.5,529,198,46
Phase 3,Gemini,2.642,8.5,391,148,46
Phase 3,OpenAI,2.633,8.413,387,147,46
Phase 3,GrimTrigger,2.626,9.935,457,174,46
Phase 3,Prober,2.573,9.565,440,171,46
Phase 3,SuspiciousTFT,2.552,10.761,495,194,46
Phase 3,Random,2.402,8.826,406,169,46
Phase 4,Bayesian,2.774,9.891,455,164,46
Phase 4,GrimTrigger,2.755,9.283,427,155,46
Phase 4,TitForTat,2.745,11.217,516,188,46
Phase 4,GenerousTFT,2.725,11.848,545,200,46
Phase 4,Gemini,2.721,11.652,536,197,46
Phase 4,WinStayLoseShift,2.701,9.63,443,164,46
Phase 4,Gradual,2.686,9.87,454,169,46
Phase 4,Prober,2.626,12.217,562,214,46
Phase 4,SuspiciousTFT,2.571,9.0,414,161,46
Phase 4,OpenAI,2.558,7.674,353,138,46
Phase 4,Random,2.518,10.457,481,191,46
Phase 4,Alternator,2.48,9.652,444,179,46
Phase 5,Gemini,2.795,13.065,601,215,46
Phase 5,TitForTat,2.794,9.413,433,155,46
Phase 5,WinStayLoseShift,2.766,10.522,484,175,46
Phase 5,SuspiciousTFT,2.757,8.87,408,148,46
Phase 5,GrimTrigger,2.743,10.674,491,179,46
Phase 5,GenerousTFT,2.733,11.348,522,191,46
Phase 5,Bayesian,2.726,12.565,578,212,46
Phase 5,OpenAI,2.654,9.0,414,156,46
Phase 5,Gradual,2.629,10.0,460,175,46
Phase 5,Prober,2.52,10.957,504,200,46
Phase 5,Alternator,2.497,9.065,417,167,46
Phase 5,Random,2.312,10.0,460,199,46

SECTION 3: COMPLETE MATCH AND ROUND DATA
Phase,Match,Round,Agent1,Agent2,Move1,Move2,Payoff1,Payoff2,Reasoning1,Reasoning2
Phase 1,1,1,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,1,2,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,2,1,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,2,2,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,3,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,2,4,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,1,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,3,2,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,3,3,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,"Opponent has always cooperated, so I will cooperate."
Phase 1,4,1,TitForTat_1,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,5,1,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,5,2,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,3,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,4,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,5,5,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,"Last round was a 'win', staying with C."
Phase 1,6,1,TitForTat_1,Random_1,C,C,3,3,Copying opponent's last move.,Randomly chose C.
Phase 1,6,2,TitForTat_1,Random_1,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,6,3,TitForTat_1,Random_1,D,C,5,0,Copying opponent's last move.,Randomly chose C.
Phase 1,7,1,TitForTat_1,Random_2,C,C,3,3,Copying opponent's last move.,Randomly chose C.
Phase 1,7,2,TitForTat_1,Random_2,C,C,3,3,Copying opponent's last move.,Randomly chose C.
Phase 1,7,3,TitForTat_1,Random_2,C,C,3,3,Copying opponent's last move.,Randomly chose C.
Phase 1,8,1,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,9,1,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,9,2,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,10,1,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,10,2,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,10,3,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,10,4,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,10,5,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,10,6,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,10,7,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Copying opponent's last move (D).
Phase 1,10,8,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,11,1,TitForTat_1,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,11,2,TitForTat_1,SuspiciousTFT_2,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,12,1,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,12,2,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,12,3,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
