Evolutionary Prisoner's Dilemma Tournament Results
Generated on,2025-06-07 19:28:40
Termination Probability,75%
OpenAI Model Used,gpt-4o-mini-2024-07-18
Gemini Model Used,gemini-2.5-flash-preview-05-20

SECTION 1: POPULATION HISTORY
Phase,Alternator,Bayesian,Gemini,GenerousTFT,Gradual,GrimTrigger,OpenAI,Prober,Random,SuspiciousTFT,TitForTat,WinStayLoseShift
Phase 1,2,2,2,2,2,2,2,2,2,2,2,2
Phase 2,2,2,4,2,0,2,2,0,2,4,2,2
Phase 3,2,2,8,0,0,2,0,0,2,7,0,1
Phase 4,0,0,17,0,0,0,0,0,0,7,0,0
Phase 5,0,0,16,0,0,0,0,0,0,8,0,0

SECTION 2: STRATEGY PERFORMANCE BY PHASE
Phase,Strategy,ScorePerMove,ScorePerMatch,TotalScore,TotalRounds,MatchesPlayed
Phase 1,SuspiciousTFT,3.724,4.696,216,58,46
Phase 1,Gemini,3.576,4.587,211,59,46
Phase 1,Random,2.95,3.848,177,60,46
Phase 1,WinStayLoseShift,2.5,3.478,160,64,46
Phase 1,OpenAI,2.491,2.978,137,55,46
Phase 1,TitForTat,2.476,3.391,156,63,46
Phase 1,Alternator,2.458,3.152,145,59,46
Phase 1,GenerousTFT,2.45,3.196,147,60,46
Phase 1,GrimTrigger,2.421,3.0,138,57,46
Phase 1,Bayesian,2.333,3.196,147,63,46
Phase 1,Gradual,2.308,2.609,120,52,46
Phase 1,Prober,2.176,3.217,148,68,46
Phase 2,Gemini,3.183,4.152,382,120,92
Phase 2,SuspiciousTFT,3.025,3.913,360,119,92
Phase 2,Random,2.55,3.326,153,60,46
Phase 2,GrimTrigger,2.21,2.978,137,62,46
Phase 2,Alternator,2.197,2.913,134,61,46
Phase 2,Bayesian,2.138,2.696,124,58,46
Phase 2,WinStayLoseShift,2.082,2.761,127,61,46
Phase 2,TitForTat,2.0,2.391,110,55,46
Phase 2,GenerousTFT,1.885,2.5,115,61,46
Phase 2,OpenAI,1.852,2.457,113,61,46
Phase 3,Gemini,2.174,2.989,550,253,184
Phase 3,SuspiciousTFT,2.07,2.752,443,214,161
Phase 3,Random,1.406,1.957,90,64,46
Phase 3,Bayesian,1.226,1.413,65,53,46
Phase 3,GrimTrigger,1.222,1.674,77,63,46
Phase 3,Alternator,1.179,1.435,66,56,46
Phase 3,WinStayLoseShift,1.172,1.478,34,29,23
Phase 4,SuspiciousTFT,1.111,1.435,231,208,161
Phase 4,Gemini,1.058,1.435,561,530,391
Phase 5,Gemini,1.043,1.399,515,494,368
Phase 5,SuspiciousTFT,1.018,1.239,228,224,184

SECTION 3: COMPLETE MATCH AND ROUND DATA
Phase,Match,Round,Agent1,Agent2,Move1,Move2,Payoff1,Payoff2,Reasoning1,Reasoning2
Phase 1,1,1,TitForTat_1,TitForTat_2,C,C,3,3,Copying opponent's last move.,Copying opponent's last move.
Phase 1,2,1,TitForTat_1,GrimTrigger_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,3,1,TitForTat_1,GrimTrigger_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,4,1,TitForTat_1,WinStayLoseShift_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,5,1,TitForTat_1,WinStayLoseShift_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,6,1,TitForTat_1,Random_1,C,D,0,5,Copying opponent's last move.,Randomly chose D.
Phase 1,7,1,TitForTat_1,Random_2,C,C,3,3,Copying opponent's last move.,Randomly chose C.
Phase 1,8,1,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,8,2,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,3,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,4,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,8,5,TitForTat_1,GenerousTFT_1,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,9,1,TitForTat_1,GenerousTFT_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,10,1,TitForTat_1,SuspiciousTFT_1,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,10,2,TitForTat_1,SuspiciousTFT_1,D,C,5,0,Copying opponent's last move.,Copying opponent's last move (C).
Phase 1,11,1,TitForTat_1,SuspiciousTFT_2,C,D,0,5,Copying opponent's last move.,Starting with defection (suspicious).
Phase 1,12,1,TitForTat_1,Gradual_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,13,1,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,13,2,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,13,3,TitForTat_1,Gradual_2,C,C,3,3,Copying opponent's last move.,"Opponent cooperated, so I'm cooperating too."
Phase 1,14,1,TitForTat_1,Prober_1,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,15,1,TitForTat_1,Prober_2,C,C,3,3,Copying opponent's last move.,Starting with cooperation.
Phase 1,16,1,TitForTat_1,Alternator_1,C,C,3,3,Copying opponent's last move.,Alternating pattern: cooperate on even-numbered rounds.
