Strategy,P(C|CC),P(C|CD),P(C|DC),P(C|DD)
1,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,N/A
14,N/A,N/A,N/A,N/A
15,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A
20,N/A,N/A,N/A,N/A
21,N/A,N/A,N/A,N/A
22,N/A,N/A,N/A,N/A
23,N/A,N/A,N/A,N/A
24,N/A,N/A,N/A,N/A
25,N/A,N/A,N/A,N/A
26,N/A,N/A,N/A,N/A
27,N/A,N/A,N/A,N/A
28,N/A,N/A,N/A,N/A
29,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,N/A
30,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A
5,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A
Alternator,0.000,0.015,0.916,0.938
Bayesian,0.994,0.013,0.663,0.081
Gemini,0.992,0.034,0.202,0.083
GenerousTFT,0.999,0.189,0.966,0.188
Gradual,0.995,0.070,0.392,0.489
GrimTrigger,0.992,0.000,0.051,0.032
OpenAI,0.992,0.155,0.333,0.089
Prober,0.373,0.021,0.869,0.051
Random,0.475,0.499,0.527,0.506
SuspiciousTFT,0.947,0.054,0.934,0.062
TitForTat,0.997,0.052,0.959,0.089
WinStayLoseShift,0.999,0.058,0.949,0.067
