Strategy,P(C|CC),P(C|CD),P(C|DC),P(C|DD)
1,N/A,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A
13,N/A,N/A,N/A,N/A
14,N/A,N/A,N/A,N/A
15,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,N/A
17,N/A,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A
19,N/A,N/A,N/A,N/A
2,N/A,N/A,N/A,N/A
20,N/A,N/A,N/A,N/A
21,N/A,N/A,N/A,N/A
22,N/A,N/A,N/A,N/A
23,N/A,N/A,N/A,N/A
24,N/A,N/A,N/A,N/A
25,N/A,N/A,N/A,N/A
26,N/A,N/A,N/A,N/A
27,N/A,N/A,N/A,N/A
28,N/A,N/A,N/A,N/A
29,N/A,N/A,N/A,N/A
3,N/A,N/A,N/A,N/A
30,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,N/A
5,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A
8,N/A,N/A,N/A,N/A
9,N/A,N/A,N/A,N/A
Alternator,0.008,0.021,0.912,0.964
Bayesian,0.995,0.022,0.633,0.068
Gemini,0.991,0.110,0.188,0.065
GenerousTFT,0.997,0.167,0.977,0.156
Gradual,0.997,0.062,0.368,0.450
GrimTrigger,0.993,0.000,0.063,0.029
OpenAI,0.993,0.234,0.451,0.116
Prober,0.386,0.005,0.890,0.071
Random,0.511,0.494,0.472,0.508
SuspiciousTFT,0.959,0.063,0.936,0.066
TitForTat,0.999,0.060,0.953,0.040
WinStayLoseShift,1.000,0.062,0.947,0.000
