IPD EXPERIMENT ANALYSIS REPORT
==================================================

OVERALL PERFORMANCE RANKINGS
------------------------------
1. GPT5mini_T1: 4.377 points/move
2. GPT5mini_T1_p1i1: 3.844 points/move
3. ThompsonSampling_p2i1: 3.719 points/move
4. SuspiciousTitForTat_p2i1: 3.618 points/move
5. GPT5mini_T1_p2i2: 3.471 points/move
6. ThompsonSampling_p1i1: 3.395 points/move
7. Random_p1i1: 3.387 points/move
8. Random_p2i2: 3.364 points/move
9. SuspiciousTitForTat_p2i2: 3.318 points/move
10. SuspiciousTitForTat_p1i1: 3.297 points/move
11. GPT5mini_T1_p2i1: 3.265 points/move
12. Mistral-Medium_T02_p1i1: 3.257 points/move
13. ThompsonSampling_p2i2: 3.171 points/move
14. GradientMetaLearner_p1i1: 3.139 points/move
15. Gemini25Pro_T07_p1i1: 3.098 points/move
16. Gemini25Pro_T12: 3.006 points/move
17. SuspiciousTitForTat_p3i4: 3.000 points/move
18. QLearning_p1i1: 3.000 points/move
19. Mistral-Medium_T02: 2.995 points/move
20. QLearning_p2i1: 2.921 points/move
21. Random_p3i2: 2.833 points/move
22. Gemini25Pro_T07_p2i1: 2.818 points/move
23. Alternator_p1i1: 2.771 points/move
24. Mistral-Medium_T12: 2.745 points/move
25. Claude4-Sonnet_T02: 2.744 points/move
26. Detective_p2i1: 2.722 points/move
27. GPT5nano_T1: 2.707 points/move
28. SuspiciousTitForTat_p3i3: 2.700 points/move
29. Random_p2i1: 2.697 points/move
30. GPT4.1mini_T1: 2.681 points/move
31. Gemini25Pro_T07: 2.662 points/move
32. GPT5mini_T1_p3i1: 2.657 points/move
33. Claude4-Sonnet_T08: 2.652 points/move
34. GradientMetaLearner_p2i1: 2.645 points/move
35. Mistral-Medium_T07: 2.642 points/move
36. Claude4-Sonnet_T05: 2.640 points/move
37. Alternator_p2i1: 2.632 points/move
38. SuspiciousTitForTat_p3i1: 2.629 points/move
39. ThompsonSampling_p3i3: 2.625 points/move
40. Gradual_p1i1: 2.619 points/move
41. ThompsonSampling_p3i2: 2.618 points/move
42. Prober_p1i1: 2.583 points/move
43. Gemini25Pro_T12_p1i1: 2.575 points/move
44. SoftGrudger_p1i1: 2.537 points/move
45. SuspiciousTitForTat_p3i2: 2.537 points/move
46. Gemini25Pro_T02: 2.530 points/move
47. GrimTrigger_p1i1: 2.514 points/move
48. ForgivingGrimTrigger_p1i1: 2.513 points/move
49. ThompsonSampling_p3i1: 2.500 points/move
50. GPT5nano_T1_p1i1: 2.486 points/move
51. Detective_p1i1: 2.469 points/move
52. Gemini25Pro_T02_p1i1: 2.457 points/move
53. Claude4-Sonnet_T02_p1i1: 2.439 points/move
54. TitForTat_p1i1: 2.432 points/move
55. SoftGrudger_p2i1: 2.424 points/move
56. Mistral-Medium_T12_p1i1: 2.424 points/move
57. Mistral-Medium_T07_p1i1: 2.419 points/move
58. SuspiciousTitForTat_p4i1: 2.343 points/move
59. GPT5mini_T1_p3i4: 2.343 points/move
60. ThompsonSampling_p3i4: 2.333 points/move
61. Claude4-Sonnet_T02_p2i1: 2.316 points/move
62. GPT4.1mini_T1_p1i1: 2.314 points/move
63. Prober_p2i1: 2.312 points/move
