shadow_condition,agent,horizon_awareness,opponent_modeling
0.75,GPT5mini_T1_p1i1,1.0,1.0
0.75,GPT5nano_T1_p1i1,1.0,1.0
0.75,GPT4.1mini_T1_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T02_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T05_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T08_p1i1,1.0,1.0
0.75,Mistral-Medium_T02_p1i1,1.0,1.0
0.75,Mistral-Medium_T07_p1i1,1.0,1.0
0.75,Mistral-Medium_T12_p1i1,1.0,1.0
0.75,Gemini25Pro_T02_p1i1,0.22857142857142856,1.0
0.75,Gemini25Pro_T07_p1i1,1.0,1.0
0.75,Gemini25Pro_T12_p1i1,0.325,1.0
0.75,GPT5mini_T1_p2i1,1.0,1.0
0.75,GPT5mini_T1_p2i2,1.0,1.0
0.75,GPT5nano_T1_p2i1,1.0,1.0
0.75,GPT4.1mini_T1_p2i1,0.9210526315789473,1.0
0.75,Claude4-Sonnet_T02_p2i1,0.9473684210526315,1.0
0.75,Claude4-Sonnet_T08_p2i1,0.9743589743589743,1.0
0.75,Mistral-Medium_T02_p2i1,0.9142857142857143,1.0
0.75,Mistral-Medium_T07_p2i1,1.0,1.0
0.75,Mistral-Medium_T12_p2i1,0.9444444444444444,1.0
0.75,Gemini25Pro_T02_p2i1,0.9032258064516129,1.0
0.75,Gemini25Pro_T07_p2i1,0.6363636363636364,1.0
0.75,Gemini25Pro_T12_p2i1,0.59375,1.0
0.75,GPT5mini_T1_p3i1,1.0,1.0
0.75,GPT5mini_T1_p3i2,1.0,1.0
0.75,GPT5mini_T1_p3i3,1.0,1.0
0.75,GPT5mini_T1_p3i4,1.0,1.0
0.75,GPT4.1mini_T1_p3i1,0.9047619047619048,1.0
0.75,Claude4-Sonnet_T02_p3i1,0.972972972972973,1.0
0.75,Claude4-Sonnet_T08_p3i1,0.9736842105263158,1.0
0.75,Mistral-Medium_T02_p3i1,0.9032258064516129,1.0
0.75,Gemini25Pro_T07_p3i1,0.65625,1.0
0.75,Gemini25Pro_T12_p3i1,0.7297297297297297,1.0
0.75,GPT5mini_T1_p4i1,1.0,1.0
0.75,GPT5mini_T1_p4i2,1.0,1.0
0.75,GPT5mini_T1_p4i3,1.0,1.0
0.75,GPT5mini_T1_p4i4,0.9666666666666667,1.0
0.75,GPT5mini_T1_p4i5,1.0,1.0
0.75,GPT5mini_T1_p5i1,1.0,1.0
0.75,GPT5mini_T1_p5i2,1.0,1.0
0.75,GPT5mini_T1_p5i3,1.0,1.0
0.75,GPT5mini_T1_p5i4,1.0,1.0
0.75,GPT5mini_T1_p5i5,1.0,1.0
0.75,GPT5mini_T1_p5i6,1.0,1.0
0.75,GPT5mini_T1_p5i7,1.0,1.0
0.75,GPT5mini_T1_p5i8,1.0,1.0
0.75,GPT5mini_T1,1.0,1.0
0.75,GPT5nano_T1,1.0,1.0
0.75,GPT4.1mini_T1,1.0,1.0
0.75,Claude4-Sonnet_T02,1.0,1.0
0.75,Claude4-Sonnet_T05,1.0,1.0
0.75,Claude4-Sonnet_T08,1.0,1.0
0.75,Mistral-Medium_T02,1.0,1.0
0.75,Mistral-Medium_T07,1.0,1.0
0.75,Mistral-Medium_T12,1.0,1.0
0.75,Gemini25Pro_T02,0.35294117647058826,1.0
0.75,Gemini25Pro_T07,1.0,1.0
0.75,Gemini25Pro_T12,1.0,1.0
0.75,GPT5mini_T1,1.0,1.0
0.75,GPT5nano_T1,1.0,1.0
0.75,GPT4.1mini_T1,1.0,1.0
0.75,Claude4-Sonnet_T02,1.0,1.0
0.75,Claude4-Sonnet_T05,1.0,1.0
0.75,Claude4-Sonnet_T08,1.0,1.0
0.75,Mistral-Medium_T02,1.0,1.0
0.75,Mistral-Medium_T07,1.0,1.0
0.75,Mistral-Medium_T12,1.0,1.0
0.75,Gemini25Pro_T02,0.08333333333333333,1.0
0.75,Gemini25Pro_T07,1.0,1.0
0.75,Gemini25Pro_T12,1.0,1.0
0.75,GPT5mini_T1,1.0,1.0
0.75,GPT5nano_T1,1.0,1.0
0.75,GPT4.1mini_T1,1.0,1.0
0.75,Claude4-Sonnet_T02,1.0,1.0
0.75,Claude4-Sonnet_T05,1.0,1.0
0.75,Claude4-Sonnet_T08,1.0,1.0
0.75,Mistral-Medium_T02,1.0,1.0
0.75,Mistral-Medium_T07,1.0,1.0
0.75,Mistral-Medium_T12,1.0,1.0
0.75,Gemini25Pro_T02,0.15384615384615385,1.0
0.75,Gemini25Pro_T07,1.0,1.0
0.75,Gemini25Pro_T12,1.0,1.0
